times,pdr
00:00,0
00:00:01,37.5
00:02,4
00:00:03,117.5
00:04,7
00:00:05,67.5
00:00:06,62.5
00:00:07,62.5
00:08,6
00:00:09,57.5
00:00:10,47.5
00:00:11,42.5
00:00:12,57.5
00:13,7
00:00:14,57.5
00:00:15,47.5
00:16,6
00:17,6
00:00:18,52.5
00:00:19,37.5
00:20,4
00:21,7
00:22,7
00:23,8
00:00:24,72.5
00:25,1
00:00:26,42.5
00:00:27,37.5
00:28,4
00:29,6
00:30,4
00:00:31,37.5
00:32,4
00:33,5
00:34,8
00:35,5
00:36,5
00:37,5
00:00:38,52.5
00:00:39,37.5
00:00:40,67.5
00:00:41,42.5
00:00:42,42.5
00:00:43,37.5
00:00:44,42.5
00:00:45,72.5
00:00:46,67.5
00:00:47,67.5
00:48,6
00:49,5
00:50,5
00:51,6
00:52,6
00:00:53,87.5
00:54,5
00:55,5
00:56,4
00:57,7
00:00:58,92.5
00:59,5
00:01:00,52.5
01:01,4
00:01:02,62.5
01:03,6
00:01:04,37.5
01:05,4
00:01:06,37.5
01:07,6
01:08,5
00:01:09,62.5
01:10,5
01:11,6
01:12,6
00:01:13,42.5
00:01:14,47.5
00:01:15,92.5
00:01:16,72.5
00:01:17,57.5
00:01:18,42.5
01:19,6
01:20,5
00:01:21,82.5
01:22,5
00:01:23,47.5
00:01:24,47.5
00:01:25,47.5
00:01:26,47.5
00:01:27,47.5
00:01:28,32.5
00:01:29,27.5
01:30,1
00:01:31,17.5
01:32,1
00:01:33,17.5
00:01:34,27.5
00:01:35,52.5
01:36,6
01:37,5
01:38,5
00:01:39,57.5




































































































