times,seconds
00:00:00,0
00:00:01,0
00:00:02,7.5
00:00:03,7
00:00:04,23.5
00:00:05,14
00:00:06,13.5
00:00:07,12.5
00:00:08,12.5
00:00:09,11
00:00:10,11.5
00:00:11,9.5
00:00:12,8.5
00:00:13,11.5
00:00:14,14
00:00:15,11.5
00:00:16,9.5
00:00:17,12
00:00:18,12
00:00:19,10.5
00:00:20,7.5
00:00:21,8
00:00:22,14
00:00:23,14
00:00:24,17
00:00:25,14.5
00:00:26,20
00:00:27,8.5
00:00:28,7.5
00:00:29,8
00:00:30,13
00:00:31,8
00:00:32,7.5
00:00:33,7
00:00:34,11
00:00:35,16
00:00:36,11
00:00:37,10
00:00:38,9
00:00:39,10.5
00:00:40,7.5
00:00:41,13.5
00:00:42,8.5
00:00:43,8.5
00:00:44,7.5
00:00:45,8.5
00:00:46,14.5
00:00:47,13.5
00:00:48,13.5
00:00:49,12
00:00:50,10
00:00:51,10
00:00:52,12
00:00:53,11
00:00:54,17.5
00:00:55,10
00:00:56,9
00:00:57,7
00:00:58,13
00:00:59,18.5
00:01:00,9
00:01:01,10.5
00:01:02,8
00:01:03,12.5
00:01:04,12
00:01:05,7.5
00:01:06,8
00:01:07,7.5
00:01:08,13
00:01:09,10
00:01:10,12.5
00:01:11,11
00:01:12,12
00:01:13,11
00:01:14,8.5
00:01:15,9.5
00:01:16,18.5
00:01:17,14.5
00:01:18,11.5
00:01:19,8.5
00:01:20,11
00:01:21,10
00:01:22,16.5
00:01:23,10
00:01:24,9.5
00:01:25,9.5
00:01:26,9.5
00:01:27,9.5
00:01:28,9.5
00:01:29,6.5
00:01:30,5.5
00:01:31,2
00:01:32,3.5
00:01:33,2
00:01:34,3.5
00:01:35,5.5
00:01:36,10.5

